drill_id	level	B_operator	A_min	A_max	C_min	C_max	accept_rule	D_min	D_max	layout	pass_id	color_A	color_C	answer_view	truth_kind	status
add_0_10	EARLY	+	0	10	0	10	ALL	0	20	ROWS_OF_TEN	1	black	black	SHOW_D	ABSOLUTE	TEMPLATE_ONLY
add_0_10	EARLY	+	0	10	0	10	ALL	0	20	ROWS_OF_TEN	2	red	blue	HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
add_0_10	EARLY	+	0	10	0	10	ALL	0	20	ROWS_OF_TEN	3	blue	red	HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
sub_0_10_nonnegative	EARLY	-	0	10	0	10	A_GE_C	0	10	ROWS_OF_TEN	1	black	black	SHOW_D	ABSOLUTE	TEMPLATE_ONLY
sub_0_10_nonnegative	EARLY	-	0	10	0	10	A_GE_C	0	10	ROWS_OF_TEN	2	red	blue	HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
sub_0_10_nonnegative	EARLY	-	0	10	0	10	A_GE_C	0	10	ROWS_OF_TEN	3	blue	red	HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
multiply_DOMAIN	LEVEL	*	A_MIN	A_MAX	C_MIN	C_MAX	ALL	D_MIN	D_MAX	ROWS_OF_TEN	PASS	COLOR_A	COLOR_C	SHOW_D_OR_HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
divide_exact_DOMAIN	LEVEL	/	A_MIN	A_MAX	1	C_MAX	C_NONZERO_AND_A_MOD_C_EQ_0	D_MIN	D_MAX	ROWS_OF_TEN	PASS	COLOR_A	COLOR_C	SHOW_D_OR_HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
remainder_DOMAIN	LEVEL	%	A_MIN	A_MAX	1	C_MAX	C_NONZERO	D_MIN	D_MAX	ROWS_OF_TEN	PASS	COLOR_A	COLOR_C	SHOW_D_OR_HIDE_D_THEN_REVEAL	ABSOLUTE	TEMPLATE_ONLY
